epoch,time,train/cls_loss,train/off_loss,train/placeholder,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/cls_loss,val/off_loss,val/placeholder,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
120,14038.4,5.02562,1.24659,0,0,0,0,0,5.06573,1.21821,0,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,14153.6,5.00221,1.24689,0,0,0,0,0,5.07051,1.2196,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,14270.1,5.00547,1.24638,0,0,0,0,0,5.08059,1.21973,0,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,14384,5.03636,1.24969,0,0,0,0,0,5.07216,1.21871,0,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,14500.5,4.98973,1.24178,0,0,0,0,0,5.07419,1.22008,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,14616.6,5.0088,1.24616,0,0,0,0,0,5.08379,1.22037,0,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,14733.3,4.95379,1.23996,0,0,0,0,0,5.08836,1.22037,0,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,14849.8,4.99146,1.24644,0,0,0,0,0,5.08924,1.22075,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,14964.9,4.99151,1.24376,0,0,0,0,0,5.09222,1.22021,0,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,15082.3,4.95032,1.24093,0,0,0,0,0,5.07916,1.22054,0,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,121.43,4.95824,1.24006,0,0,0,0,0,5.09086,1.22052,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,246.509,4.94612,1.23987,0,0,0,0,0,5.07309,1.22052,0,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,359.717,4.97412,1.24307,0,0,0,0,0,5.08321,1.21884,0,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,111.83,4.90836,1.23779,0,0,0,0,0,5.10689,1.22127,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,224.543,4.92377,1.23858,0,0,0,0,0,5.09574,1.2192,0,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,119.116,4.77595,1.2251,0,0,0,0,0,5.18616,1.22648,0,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,229.238,4.83117,1.23011,0,0,0,0,0,5.16479,1.22394,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
137,343.343,4.95356,1.24049,0,0,0,0,0,5.11852,1.22157,0,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
138,455.353,4.93841,1.23934,0,0,0,0,0,5.11403,1.22059,0,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479
139,567.808,4.93743,1.23662,0,0,0,0,0,5.11716,1.22194,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
140,676.498,4.95894,1.23985,0,0,0,0,0,5.10639,1.22009,0,0.016239,0.005413,0.016239,0.005413,0.016239,0.005413,0.016239,0.005413
141,788.275,4.93446,1.23859,0,0,0,0,0,5.12141,1.22143,0,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
142,898.249,4.88624,1.23466,0,0,0,0,0,5.12651,1.22162,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
143,1007.37,4.90532,1.23698,0,0,0,0,0,5.1344,1.22276,0,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
144,1119.34,4.91564,1.23749,0,0,0,0,0,5.13479,1.22265,0,0.015843,0.005281,0.015843,0.005281,0.015843,0.005281,0.015843,0.005281
145,1229.19,4.93097,1.2388,0,0,0,0,0,5.1277,1.22152,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
146,1342.04,4.91766,1.23737,0,0,0,0,0,5.12771,1.22189,0,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
147,1452.84,4.91445,1.2365,0,0,0,0,0,5.12107,1.22075,0,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
148,1566.74,4.91641,1.23691,0,0,0,0,0,5.14461,1.22302,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
149,1677.64,4.89121,1.23337,0,0,0,0,0,5.13253,1.22264,0,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
150,1792.3,4.89168,1.23333,0,0,0,0,0,5.1387,1.22257,0,0.015249,0.005083,0.015249,0.005083,0.015249,0.005083,0.015249,0.005083
151,1905.86,4.87213,1.23346,0,0,0,0,0,5.15022,1.22361,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
152,2022.68,4.88782,1.23458,0,0,0,0,0,5.16061,1.22451,0,0.015051,0.005017,0.015051,0.005017,0.015051,0.005017,0.015051,0.005017
